year,name,TDI,TDI_normalized,TDI_rank
1976,Penske,0.2659806414747809,0.2292496215313302,5.0
1976,March,0.213629437462977,0.16807327529516,6.0
1976,Ligier,0.2073618659942917,0.1607491434157522,7.0
1976,Shadow,0.1535774010093317,0.0978979231972984,8.0
1976,Parnelli,0.1208320832083208,0.0596325396741918,9.0
1976,Brabham,0.1200840296795637,0.0587583824787219,10.0
1976,Surtees,0.1190397987167137,0.0575381195231758,11.0
1976,Kojima,0.1173267326732673,0.0555362721277334,12.0
1976,Ensign,0.1105467689626105,0.0476133711121562,13.0
1976,Fittipaldi,0.1037833783378337,0.0397098370024437,14.0
1976,Boro,0.096039603960396,0.0306606502371861,15.0
1976,Wolf-Williams,0.0951555869872701,0.0296276094610006,16.0
1976,Hesketh,0.0943392165303486,0.0286736187616014,17.0
1976,BRM,0.0846534653465346,0.0173550850399167,18.0
1976,Maki,0.0698019801980198,0.0,19.0
1977,Ferrari,0.8575480489225393,1.0,1.0
1977,Lotus,0.6918868270340965,0.7958601380960726,2.0
1977,Wolf,0.5702088314481604,0.6459196213444417,3.0
1977,McLaren,0.5436753595294982,0.613223138537168,4.0
1977,Shadow,0.2546540400944119,0.2570699509402489,5.0
1977,Ligier,0.248835548028487,0.2498999798795087,6.0
1977,Tyrrell,0.2209150971488125,0.215494360254716,7.0
1977,Brabham,0.2203210377428719,0.2147623168488482,8.0
1977,Fittipaldi,0.128209136703144,0.1012553020894084,9.0
1977,Ensign,0.1212757713018265,0.0927115026448557,10.0
1977,Surtees,0.1139916623241271,0.083735491337864,11.0
1977,Penske,0.1028318466521574,0.0699835510576982,12.0
1977,Kojima,0.1009900990099009,0.0677140150427742,13.0
1977,Hesketh,0.0904879773691654,0.0547725334033251,14.0
1977,March,0.0904630168899243,0.0547417752770281,15.0
1977,Renault,0.09,0.0541712120342194,16.0
1977,LEC,0.0852475247524752,0.0483148647872768,17.0
1977,Boro,0.0698019801980198,0.0292817362347131,18.0
1977,BRM,0.0653465346534653,0.0237914106907044,19.0
1977,Apollon,0.0519801980198019,0.0073204340586782,20.0
1977,McGuire,0.046039603960396,0.0,21.0
1978,Lotus,0.9125,1.0,1.0
1978,Ferrari,0.6125728551919232,0.6502509265335169,2.0
1978,Brabham,0.5018236244806746,0.5211047605432026,3.0
1978,Tyrrell,0.3166894783690191,0.3052173452477521,4.0
1978,Wolf,0.225814182403462,0.199246441596186,5.0
1978,Ligier,0.1941535994732477,0.1623266104407334,6.0
1978,Fittipaldi,0.1631947154075013,0.1262250397593607,7.0
1978,McLaren,0.15088889430815,0.111875056430921,8.0
1978,Williams,0.1504365214846607,0.1113475384032412,9.0
1978,Arrows,0.1393214814092246,0.098386140826459,10.0
1978,Renault,0.1087084816856069,0.0626879105238424,11.0
1978,Shadow,0.1065300343421765,0.0601475938064348,12.0
1978,Martini,0.0948373408769448,0.0465125868502979,13.0
1978,ATS,0.0931002475247524,0.0444869389522297,14.0
1978,Surtees,0.0924110191191533,0.0436832204477931,15.0
1978,Ensign,0.0913677022874701,0.0424665946720679,16.0
1978,Merzario,0.0804601048340128,0.0297470987240328,17.0
1978,Theodore,0.0723479490806223,0.0202874049027895,18.0
1978,Hesketh,0.0698019801980198,0.01731851638043,19.0
1978,March,0.0549504950495049,0.0,20.0
1979,Ferrari,0.9345544554455446,1.0,1.0
1979,Williams,0.7386979198260193,0.7738997588573316,2.0
1979,Ligier,0.5528503595764613,0.5593540555174602,3.0
1979,Renault,0.2849374757080881,0.2500706943252588,4.0
1979,Lotus,0.2755522856740338,0.2392362653226359,5.0
1979,Tyrrell,0.2448283713241984,0.203768036389805,6.0
1979,McLaren,0.1563735012030814,0.1016541732942191,7.0
1979,Brabham,0.1171418557784981,0.0563644694665483,8.0
1979,Arrows,0.1165723297993516,0.0557069986253801,9.0
1979,Shadow,0.110062209760799,0.0481916011640268,10.0
1979,Fittipaldi,0.1051187758026192,0.0424848137623105,11.0
1979,ATS,0.1012625952860772,0.0380331709211773,12.0
1979,Wolf,0.1008910891089108,0.0376042976340153,13.0
1979,Alfa Romeo,0.0956859971711456,0.0315954476429959,14.0
1979,Ensign,0.0901980198019802,0.025260029717682,15.0
1979,Rebaque,0.0787128712871287,0.012001371585324,16.0
1979,Merzario,0.0731683168316831,0.0056006400731512,17.0
1979,Kauhsen,0.0683168316831683,0.0,18.0
1980,Williams,0.9206096925482022,1.0,1.0
1980,Ligier,0.4879742259940279,0.4877962126497985,2.0
1980,Brabham,0.4657355021216406,0.4614674451911423,3.0
1980,Renault,0.4061551155115511,0.3909293085086849,4.0
1980,Fittipaldi,0.1526174760333176,0.0907621950473112,5.0
1980,Lotus,0.1425719507434614,0.0788691430505159,6.0
1980,Arrows,0.1398186715223246,0.0756094934061373,7.0
1980,Tyrrell,0.1281188118811881,0.0617578495097499,8.0
1980,McLaren,0.128022159358793,0.0616434211009511,9.0
1980,Ferrari,0.1269471947194719,0.0603707539201644,10.0
1980,Alfa Romeo,0.1076567656765676,0.0375325180860048,11.0
1980,ATS,0.0983498349834983,0.0265138995997208,12.0
1980,Ensign,0.0909653465346534,0.0177712900738129,13.0
1980,Osella,0.0888967468175388,0.0153222430318386,14.0
1980,Shadow,0.0759547383309759,0.0,15.0
1981,Williams,0.927920792079208,1.0,1.0
1981,Brabham,0.6446453481380527,0.6698878523357947,2.0
1981,Renault,0.623373852567443,0.6450993320562103,3.0
1981,Ligier,0.5102795410140466,0.5133060302575135,4.0
1981,Ferrari,0.4143702649617188,0.4015391342002261,5.0
1981,McLaren,0.3368357918787829,0.311185127261533,6.0
1981,Lotus,0.1798975542435677,0.1282987536471713,7.0
1981,Arrows,0.1570389225157333,0.1016606804440875,8.0
1981,Alfa Romeo,0.1544418166513007,0.0986341696294147,9.0
1981,Tyrrell,0.1265971860343929,0.0661857135049461,10.0
1981,Ensign,0.1150436425221469,0.0527219094812142,11.0
1981,Theodore,0.1101250651380927,0.0469900955226418,12.0
1981,ATS,0.0943701146430432,0.0286302247484408,13.0
1981,Fittipaldi,0.0878359264497878,0.0210156752212827,14.0
1981,March,0.085077793493635,0.0178015131286159,15.0
1981,Osella,0.0839364970979856,0.0164715150213055,16.0
1981,Toleman,0.0698019801980198,0.0,17.0
1982,Brabham,0.875112511251125,1.0,1.0
1982,McLaren,0.8414565302684115,0.9575922119586776,2.0
1982,Ferrari,0.802063962405856,0.9079561110476184,3.0
1982,Renault,0.7839237289113528,0.885098742027529,4.0
1982,Williams,0.5296772946525421,0.5647387768894596,5.0
1982,Lotus,0.325680202635648,0.3076948522526482,6.0
1982,Tyrrell,0.3104002407452283,0.2884415318558597,7.0
