year,constructorId,name,races,wins,podiums,avg_finish,total_points,win_rate,podium_rate,avg_points,TDI,total_races,points_share,one_two_rate
1956,emeryson,Emeryson,1,0,0,27.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1956,ferrari,Ferrari,7,5,14,9.977777777777778,1.0,0.7142857142857143,1.0,0.14285714285714285,0.9,7,0.4225721784776903,0.0
1956,gordini,Gordini,5,0,0,13.733333333333333,0.0248447204968944,0.0,0.0,0.0049689440993788804,0.0099378881987577,5,0.010498687664041991,0.0
1956,kurtis-kraft,Kurtis Kraft,1,0,1,20.347826086956523,0.1118012422360248,0.0,0.5,0.1118012422360248,0.1697204968944099,1,0.04724409448818896,0.0
1956,kuzma,Kuzma,1,0,0,14.857142857142858,0.0372670807453416,0.0,0.0,0.0372670807453416,0.0149068322981366,1,0.01574803149606299,0.0
1956,lesovsky,Lesovsky,1,0,0,9.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1956,maserati,Maserati,7,2,7,11.714285714285714,0.8944099378881988,0.2857142857142857,0.5,0.1277728482697427,0.5827639751552796,7,0.37795275590551186,0.0
1956,phillips,Phillips,1,0,1,3.0,0.0496894409937888,0.0,0.5,0.0496894409937888,0.1448757763975155,1,0.020997375328083982,0.0
1956,stevens,Stevens,1,0,0,10.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1956,vanwall,Vanwall,5,0,0,16.714285714285715,0.0372670807453416,0.0,0.0,0.00745341614906832,0.0149068322981366,5,0.01574803149606299,0.0
1956,watson,Watson,1,1,1,1.0,0.0993788819875776,1.0,0.5,0.0993788819875776,0.514751552795031,1,0.041994750656167965,0.0
1957,brm,BRM,3,0,0,15.5,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
1957,connaught,Connaught,1,0,0,8.5,0.0384615384615384,0.0,0.0,0.0384615384615384,0.0153846153846153,1,0.015624999999999977,0.0
1957,cooper,Cooper,5,0,0,13.625,0.0256410256410256,0.0,0.0,0.0051282051282051195,0.0102564102564102,5,0.01041666666666665,0.0
1957,dunn,Dunn,1,0,0,21.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1957,epperly,Epperly,1,1,2,1.5,0.1923076923076923,1.0,1.0,0.1923076923076923,0.676923076923077,1,0.078125,0.0
1957,ferrari,Ferrari,7,0,6,8.34375,0.6153846153846154,0.0,0.4285714285714285,0.08791208791208792,0.3532967032967033,7,0.25000000000000006,0.0
1957,kurtis-kraft,Kurtis Kraft,1,0,0,18.33333333333333,0.0641025641025641,0.0,0.0,0.0641025641025641,0.0256410256410256,1,0.026041666666666668,0.0
1957,kuzma,Kuzma,1,0,1,14.4,0.0512820512820512,0.0,0.5,0.0512820512820512,0.1455128205128205,1,0.0208333333333333,0.0
1957,lesovsky,Lesovsky,1,0,0,20.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1957,maserati,Maserati,7,4,10,10.885245901639344,1.0,0.5714285714285714,0.7142857142857143,0.14285714285714285,0.7785714285714286,7,0.40625000000000006,0.0
1957,phillips,Phillips,1,0,0,9.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1957,porsche,Porsche,1,0,0,14.333333333333334,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1957,vanwall,Vanwall,6,3,5,9.0,0.4743589743589743,0.5,0.4166666666666667,0.07905982905982904,0.4689102564102564,6,0.19270833333333331,0.0
1957,watson,Watson,1,0,0,31.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1958,brm,BRM,9,0,2,11.363636363636363,0.2580645161290322,0.0,0.1111111111111111,0.02867383512544802,0.1310035842293906,9,0.09266409266409265,0.0
1958,connaught,Connaught,2,0,0,21.6,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
1958,cooper,Cooper,10,2,5,10.829268292682928,0.4086021505376344,0.2,0.25,0.040860215053763436,0.2959408602150538,10,0.14671814671814673,0.0
1958,dunn,Dunn,1,0,0,24.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1958,epperly,Epperly,1,1,2,3.0,0.2150537634408602,1.0,1.0,0.2150537634408602,0.6860215053763441,1,0.07722007722007722,0.0
1958,ferrari,Ferrari,10,2,14,7.647058823529412,1.0,0.2,0.7,0.1,0.645,10,0.35907335907335913,0.0
1958,kurtis-kraft,Kurtis Kraft,1,0,1,19.0625,0.043010752688172,0.0,0.5,0.043010752688172,0.1422043010752688,1,0.015444015444015429,0.0
1958,kuzma,Kuzma,1,0,0,19.8,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1958,lesovsky,Lesovsky,1,0,0,22.5,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1958,lotus,Lotus,9,0,0,12.263157894736842,0.032258064516129,0.0,0.0,0.0035842293906809997,0.0129032258064516,9,0.011583011583011572,0.0
