year,constructorId,name,races,wins,podiums,avg_finish,total_points,win_rate,podium_rate,avg_points,TDI,inv_avg_finish,TDI_normalized,TDI_rank
1983,theodore,Theodore,14,0,0,17.85185185185185,0.0112359550561797,0.0,0.0,0.0714285714285714,0.09922188848098291,0.6464979831316465,0.02925688183340253,13.0
1983,ats-wheels,ATS,15,0,0,18.0,0.0,0.0,0.0,0.0,0.09653465346534654,0.6435643564356436,0.026095060577819185,14.0
1983,osella,Osella,15,0,0,22.23333333333333,0.0,0.0,0.0,0.0,0.08396039603960395,0.5597359735973597,0.011300093196644897,15.0
1983,ram,RAM,14,0,0,25.466666666666665,0.0,0.0,0.0,0.0,0.07435643564356437,0.4957095709570958,0.0,16.0
1984,mclaren,McLaren,16,12,18,6.34375,1.0,1.0,1.0,8.96875,0.9311571782178218,0.8743811881188119,1.0,1.0
1984,ferrari,Ferrari,16,1,8,9.9375,0.4006968641114982,0.0833333333333333,0.4444444444444444,3.59375,0.3408998238674041,0.8032178217821782,0.3139151255166429,2.0
1984,brabham,Brabham,16,2,5,11.4375,0.2648083623693379,0.1666666666666666,0.2777777777777778,2.375,0.2967666779744176,0.7735148514851485,0.2626170203132479,3.0
1984,lotus,Lotus,16,0,6,10.1875,0.3275261324041811,0.0,0.3333333333333333,2.9375,0.2685786588240705,0.7982673267326732,0.22985271261227322,4.0
1984,renault,Renault,16,0,5,11.727272727272728,0.2369337979094076,0.0,0.2777777777777778,2.125,0.23199772067799113,0.7677767776777678,0.1873329063422498,5.0
1984,williams,Williams,16,1,2,14.46875,0.1777003484320557,0.0833333333333333,0.1111111111111111,1.59375,0.1995080289823407,0.713490099009901,0.1495685551067716,6.0
1984,toleman,Toleman,16,0,3,15.586206896551724,0.1114982578397212,0.0,0.1666666666666666,1.0,0.16767065418544735,0.6913622396722431,0.11256242357717011,7.0
1984,alfa-romeo,Alfa Romeo,16,0,1,14.40625,0.0766550522648083,0.0,0.0555555555555555,0.6875,0.13642905775769212,0.7147277227722773,0.07624879426646913,8.0
1984,arrows,Arrows,16,0,0,14.714285714285714,0.0627177700348432,0.0,0.0,0.5625,0.11883775485562495,0.7086280056577087,0.055801566028465,9.0
1984,ligier,Ligier,16,0,0,14.84375,0.0209059233449477,0.0,0.0,0.1875,0.11009083813433607,0.7060643564356436,0.045634598659721,10.0
1984,spirit,Spirit,16,0,0,14.5625,0.0,0.0,0.0,0.0,0.1067450495049505,0.7116336633663367,0.04174562556193378,11.0
1984,osella,Osella,16,0,0,16.708333333333332,0.0139372822299651,0.0,0.0,0.125,0.10315874357470589,0.6691419141914192,0.03757708748972525,12.0
1984,ats-wheels,ATS,16,0,0,16.77777777777778,0.0,0.0,0.0,0.0,0.10016501650165018,0.6677667766776678,0.03409733268782999,13.0
1984,ram,RAM,16,0,0,17.5,0.0,0.0,0.0,0.0,0.09801980198019802,0.6534653465346535,0.031603845355833764,14.0
1984,tyrrell,Tyrrell,13,0,0,26.65384615384616,0.0,0.0,0.0,0.0,0.07083015993907081,0.4722010662604721,0.0,15.0
1985,mclaren,McLaren,16,6,12,9.4375,1.0,1.0,1.0,5.625,0.9219678217821783,0.8131188118811881,1.0,1.0
1985,williams,Williams,16,4,8,10.78125,0.7888888888888889,0.6666666666666666,0.6666666666666666,4.4375,0.6757542629262926,0.786509900990099,0.705425993106455,2.0
1985,lotus,Lotus,16,3,9,8.5625,0.7888888888888889,0.5,0.75,4.4375,0.6448446094609461,0.8304455445544554,0.668445168348922,3.0
1985,ferrari,Ferrari,16,2,10,9.125,0.9111111111111112,0.3333333333333333,0.8333333333333334,5.125,0.6301182618261827,0.8193069306930694,0.6508263205087075,4.0
1985,brabham,Brabham,16,1,2,13.5625,0.2888888888888888,0.1666666666666666,0.1666666666666666,1.625,0.26749312431243116,0.7314356435643564,0.21697555999769652,5.0
1985,ligier,Ligier,15,0,4,12.933333333333334,0.2555555555555555,0.0,0.3555555555555554,1.5333333333333334,0.25158415841584153,0.7438943894389438,0.19794180795143249,6.0
1985,renault,Renault,15,0,2,13.32258064516129,0.1777777777777777,0.0,0.1777777777777777,1.0666666666666669,0.1904279782816991,0.7361865218779943,0.12477353439196397,7.0
