year,constructorId,name,races,wins,podiums,avg_finish,total_points,win_rate,podium_rate,avg_points,TDI,inv_avg_finish,TDI_normalized,TDI_rank,poles,one_two_finishes,max_possible_points,points_eff,win_rate_alt,pole_rate,one_two_rate,TDI_alt,TDI_og_pct
2016,ferrari,Ferrari,21,0,11,7.404761904761905,0.5202614379084968,0.0,0.3333333333333333,18.95238095238096,0.3153912786236607,0.8533710513908533,0.2583479750500315,3.0,0,0,525,0.0009909741674447557,0.0,0.0,0.0,0.03963896669779023,31.53912786236607
2016,force-india,Force India,21,0,2,9.952380952380953,0.2261437908496732,0.0,0.0606060606060605,8.238095238095237,0.1808187457401202,0.8029231494578029,0.0984750855654076,4.0,0,0,525,0.00043075007780890134,0.0,0.0,0.0,0.017230003112356056,18.08187457401202
2016,williams,Williams,21,0,1,10.523809523809524,0.1803921568627451,0.0,0.0303030303030302,6.571428571428571,0.1623953487785753,0.7916077322017916,0.0765879913475007,5.0,0,0,525,0.00034360410830999065,0.0,0.0,0.0,0.013744164332399627,16.23953487785753
2016,mclaren,McLaren,21,0,0,12.714285714285714,0.0993464052287581,0.0,0.0,3.619047619047619,0.1321040759538138,0.7482319660537482,0.0406017970707487,6.0,0,0,525,0.0001892312480547773,0.0,0.0,0.0,0.007569249922191093,13.21040759538138
2016,toro-rosso,Toro Rosso,21,0,0,13.166666666666666,0.0823529411764705,0.0,0.0,3.0,0.127361677344205,0.7392739273927393,0.0349678021346338,7.0,0,0,525,0.00015686274509803906,0.0,0.0,0.0,0.006274509803921563,12.736167734420501
2016,haas,Haas,21,0,0,14.452380952380953,0.0379084967320261,0.0,0.0,1.380952380952381,0.1146538351314123,0.7138142385667139,0.0198708175558265,8.0,0,0,525,7.220666044195447e-05,0.0,0.0,0.0,0.002888266417678179,11.46538351314123
2016,renault,Renault,21,0,0,15.547619047619047,0.0104575163398692,0.0,0.0,0.3809523809523809,0.1059104565918776,0.6921263554926922,0.0094836370441619,9.0,0,0,525,1.9919078742608002e-05,0.0,0.0,0.0,0.00079676314970432,10.59104565918776
2016,sauber,Sauber,21,0,0,15.904761904761903,0.0026143790849673,0.0,0.0,0.0952380952380952,0.1032810087731462,0.6850542197076851,0.0063598389590546,10.0,0,0,525,4.9797696856520004e-06,0.0,0.0,0.0,0.00019919078742608,10.32810087731462
2016,manor,Manor,21,0,0,17.61904761904762,0.0013071895424836,0.0,0.0,0.0476190476190476,0.0979276330994443,0.6511079679396511,0.0,11.0,0,0,525,2.489884842825905e-06,0.0,0.0,0.0,9.95953937130362e-05,9.79276330994443
2017,mercedes,Mercedes,20,12,26,3.175,1.0,1.0,1.0,33.4,0.9405693069306932,0.9371287128712872,1.0,1.0,0,0,500,0.002,0.6,0.0,0.0,18.08,94.05693069306932
2017,ferrari,Ferrari,20,5,20,5.475,0.781437125748503,0.4166666666666667,0.7692307692307692,26.1,0.6281660745531026,0.8915841584158416,0.6253815545400078,2.0,0,0,500,0.001562874251497006,0.25,0.0,0.0,7.562514970059881,62.81660745531026
2017,red-bull,Red Bull,20,3,13,8.65,0.5508982035928144,0.25,0.5,18.4,0.4469865714116321,0.8287128712871287,0.4081200899273894,3.0,0,0,500,0.0011017964071856287,0.15,0.0,0.0,4.544071856287426,44.69865714116321
2017,force-india,Force India,20,0,0,8.35,0.279940119760479,0.0,0.0,9.35,0.181186043754076,0.8346534653465347,0.0893852941453529,4.0,0,0,500,0.000559880239520958,0.0,0.0,0.0,0.02239520958083832,18.1186043754076
2017,williams,Williams,20,0,1,11.5,0.124251497005988,0.0,0.0384615384615384,4.15,0.150307268174998,0.7722772277227723,0.0523569996008182,5.0,0,0,500,0.00024850299401197603,0.0,0.0,0.0,0.009940119760479042,15.0307268174998
2017,renault,Renault,20,0,0,13.25,0.0853293413173652,0.0,0.0,2.85,0.1277094326199087,0.7376237623762376,0.0252587971847302,6.0,0,0,500,0.00017065868263473042,0.0,0.0,0.0,0.0068263473053892165,12.770943261990869
2017,toro-rosso,Toro Rosso,20,0,0,13.1,0.0793413173652694,0.0,0.0,2.65,0.1269573723839449,0.7405940594059406,0.0243569638895213,7.0,0,0,500,0.00015868263473053882,0.0,0.0,0.0,0.006347305389221553,12.69573723839449
2017,haas,Haas,20,0,0,12.55,0.0703592814371257,0.0,0.0,2.35,0.1267946285646528,0.7514851485148515,0.0241618095816499,8.0,0,0,500,0.0001407185628742514,0.0,0.0,0.0,0.005628742514970056,12.679462856465278
2017,mclaren,McLaren,20,0,0,13.85,0.0449101796407185,0.0,0.0,1.5,0.1178434220667575,0.7257425742574257,0.0134279671763962,9.0,0,0,500,8.9820359281437e-05,0.0,0.0,0.0,0.0035928143712574807,11.78434220667575
