year,constructorId,name,races,wins,podiums,avg_finish,total_points,win_rate,podium_rate,avg_points,TDI
1954,stevens,Stevens,1,0,0,23.0,0.0,0.0,0.0,0.0,0.0
1954,vanwall,Vanwall,3,0,0,19.666666666666668,0.0,0.0,0.0,0.0,0.0
1955,arzani-volpini,Arzani-Volpini,1,0,0,23.0,0.0,0.0,0.0,0.0,0.0
1955,connaught,Connaught,1,0,0,21.8,0.0,0.0,0.0,0.0,0.0
1955,cooper,Cooper,1,0,0,14.0,0.0,0.0,0.0,0.0,0.0
1955,epperly,Epperly,1,0,0,16.0,0.0,0.0,0.0,0.0,0.0
1955,ferrari,Ferrari,6,1,5,8.586206896551724,0.43025316455696205,0.1666666666666666,0.2777777777777778,5.665,0.2998790436005626
1955,gordini,Gordini,5,0,0,17.6,0.0,0.0,0.0,0.0,0.0
1955,hwm,HWM,1,0,0,25.0,0.0,0.0,0.0,0.0,0.0
1955,kurtis-kraft,Kurtis Kraft,1,1,3,16.26086956521739,0.26582278481012656,1.0,1.0,21.0,0.7063291139240506
1955,kuzma,Kuzma,1,0,0,18.5,0.0379746835443038,0.0,0.0,3.0,0.01518987341772152
1955,lancia,Lancia,4,0,1,17.727272727272727,0.10126582278481013,0.0,0.08333333333333333,2.0,0.06133966244725739
1955,maserati,Maserati,6,0,2,14.254901960784316,0.2911392405063291,0.0,0.1111111111111111,3.8333333333333335,0.14423347398030945
1955,mercedes,Mercedes,6,5,10,9.708333333333334,1.0,0.8333333333333334,0.5555555555555556,13.166666666666666,0.8305555555555556
1955,pankratz,Pankratz,1,0,0,35.0,0.0,0.0,0.0,0.0,0.0
1955,pawl,Pawl,1,0,0,24.0,0.0,0.0,0.0,0.0,0.0
1955,phillips,Phillips,1,0,0,17.0,0.0,0.0,0.0,0.0,0.0
1955,schroeder,Schroeder,1,0,0,22.0,0.0,0.0,0.0,0.0,0.0
1955,stevens,Stevens,1,0,0,33.0,0.0,0.0,0.0,0.0,0.0
1955,trevis,Trevis,1,0,0,17.5,0.0,0.0,0.0,0.0,0.0
1955,vanwall,Vanwall,4,0,0,16.142857142857142,0.0,0.0,0.0,0.0,0.0
1956,brm,BRM,2,0,0,21.8,0.0,0.0,0.0,0.0,0.0
