year,constructorId,name,races,wins,podiums,avg_finish,total_points,win_rate,podium_rate,avg_points,TDI
1958,osca,O.S.C.A.,1,0,0,25.5,0.0,0.0,0.0,0.0,0.00392156862745098
1958,phillips,Phillips,1,0,0,7.0,0.0,0.0,0.0,0.0,0.014285714285714285
1958,porsche,Porsche,2,0,0,12.666666666666666,0.0,0.0,0.0,0.0,0.007894736842105265
1958,vanwall,Vanwall,9,6,9,10.185185185185185,68.0,0.6666666666666666,1.0,7.555555555555555,0.5775358995358995
1958,watson,Watson,1,0,0,17.25,0.0,0.0,0.0,0.0,0.005797101449275362
1959,aston-martin,Aston Martin,4,0,0,11.125,0.0,0.0,0.0,0.0,0.008988764044943821
1959,behra-porsche,Behra-Porsche,2,0,0,18.5,0.0,0.0,0.0,0.0,0.005405405405405406
1959,brm,BRM,7,1,2,9.454545454545455,22.5,0.14285714285714285,0.2857142857142857,3.2142857142857144,0.16086649836649836
1959,christensen,Christensen,1,0,0,27.0,0.0,0.0,0.0,0.0,0.003703703703703704
1959,connaught,Connaught,1,0,0,18.0,0.0,0.0,0.0,0.0,0.005555555555555556
1959,cooper,Cooper,8,5,13,11.107692307692307,97.5,0.625,1.625,12.1875,0.7476007430560754
1959,dunn,Dunn,1,0,0,13.0,0.0,0.0,0.0,0.0,0.007692307692307693
1959,elder,Elder,1,0,0,23.0,0.0,0.0,0.0,0.0,0.004347826086956522
1959,epperly,Epperly,1,0,0,12.0,5.0,0.0,0.0,5.0,0.04211711711711712
1959,ferrari,Ferrari,7,2,9,7.310344827586207,67.0,0.2857142857142857,1.2857142857142858,9.571428571428571,0.5140653456691193
1959,fry,Fry,1,0,0,26.0,0.0,0.0,0.0,0.0,0.0038461538461538464
1959,jbw,JBW,1,0,0,22.0,0.0,0.0,0.0,0.0,0.004545454545454546
1959,kurtis-kraft,Kurtis Kraft,2,0,0,18.46153846153846,0.0,0.0,0.0,0.0,0.005416666666666667
1959,kuzma,Kuzma,1,0,0,15.4,0.0,0.0,0.0,0.0,0.006493506493506493
1959,lesovsky,Lesovsky,1,0,1,17.5,5.0,0.0,1.0,5.0,0.2894980694980695
1959,lotus,Lotus,8,0,0,14.578947368421053,5.0,0.0,0.0,0.625,0.011082178749146259
1959,maserati,Maserati,5,0,0,15.555555555555555,0.0,0.0,0.0,0.0,0.006428571428571429
1959,moore,Moore,1,0,0,12.0,0.0,0.0,0.0,0.0,0.008333333333333333
1959,phillips,Phillips,1,0,0,24.0,0.0,0.0,0.0,0.0,0.004166666666666667
1959,porsche,Porsche,4,0,0,12.5,0.0,0.0,0.0,0.0,0.008
1959,sutton,Sutton,1,0,0,30.0,0.0,0.0,0.0,0.0,0.0033333333333333335
